algoritmo,configuracion,base,n_anomalias,pct_anomalias,detecta_dana,fechas_anomalas
IF temporal,"contam=0.01, n=200",,9,4.95,NO,2024-09-26; 2024-10-03; 2024-10-08; 2024-10-09; 2024-10-17; 2024-10-18; 2024-11-20; 2024-11-21; 2024-11-22
IF temporal,"contam=0.03, n=200",,10,5.5,SÍ,2024-09-26; 2024-10-03; 2024-10-08; 2024-10-09; 2024-10-17; 2024-10-18; 2024-10-30; 2024-11-20; 2024-11-21; 2024-11-22
IF temporal,"contam=0.05, n=200",base,10,5.5,SÍ,2024-09-26; 2024-10-03; 2024-10-08; 2024-10-09; 2024-10-17; 2024-10-18; 2024-10-30; 2024-11-20; 2024-11-21; 2024-11-22
IF temporal,"contam=0.10, n=200",,19,10.44,SÍ,2024-09-13; 2024-09-26; 2024-10-03; 2024-10-03; 2024-10-07; 2024-10-08; 2024-10-09; 2024-10-10; 2024-10-16; 2024-10-17
IF temporal,"contam=0.05, n=100",,10,5.5,SÍ,2024-09-26; 2024-10-03; 2024-10-08; 2024-10-09; 2024-10-17; 2024-10-18; 2024-10-30; 2024-11-20; 2024-11-21; 2024-11-22
IF temporal,"contam=0.05, n=300",,11,6.04,SÍ,2024-09-26; 2024-10-03; 2024-10-08; 2024-10-09; 2024-10-17; 2024-10-18; 2024-10-29; 2024-10-30; 2024-11-20; 2024-11-21
AR(1) FOD,z=1.5,,18,9.95,SÍ,2024-09-26; 2024-10-03; 2024-10-06; 2024-10-07; 2024-10-08; 2024-10-09; 2024-10-13; 2024-10-16; 2024-10-17; 2024-10-18
AR(1) FOD,z=2.0,,8,4.42,NO,2024-09-26; 2024-10-03; 2024-10-08; 2024-10-09; 2024-10-17; 2024-11-20; 2024-11-21; 2024-11-22
AR(1) FOD,z=2.5,base,4,2.21,NO,2024-09-26; 2024-10-09; 2024-10-17; 2024-11-22
AR(1) FOD,z=3.0,,2,1.1,NO,2024-10-09; 2024-10-17
AR(1) FOD,z=3.5,,1,0.55,NO,2024-10-17
Autoencoder,"H=[8,4,8], contam=0.05",,10,5.53,NO,2024-09-02; 2024-09-25; 2024-10-02; 2024-10-06; 2024-10-09; 2024-10-15; 2024-10-19; 2024-10-22; 2024-11-10; 2024-11-27
Autoencoder,"H=[16,6,16], contam=0.05",base,10,5.53,SÍ,2024-09-06; 2024-10-06; 2024-10-09; 2024-10-09; 2024-10-10; 2024-10-17; 2024-10-30; 2024-11-21; 2024-11-27; 2024-11-27
Autoencoder,"H=[32,10,32], contam=0.05",,10,5.53,NO,2024-09-13; 2024-09-13; 2024-09-27; 2024-10-10; 2024-10-17; 2024-10-18; 2024-11-13; 2024-11-21; 2024-11-22; 2024-11-22
Autoencoder,"H=[16,6,16], contam=0.03",,6,3.31,NO,2024-10-09; 2024-10-09; 2024-10-17; 2024-11-21; 2024-11-27; 2024-11-27
Autoencoder,"H=[16,6,16], contam=0.08",,15,8.29,SÍ,2024-09-06; 2024-09-13; 2024-10-06; 2024-10-08; 2024-10-09; 2024-10-09; 2024-10-10; 2024-10-10; 2024-10-17; 2024-10-18
